,var,variable,value
0,0.001,loss,0.2921130955219269
1,0.01,loss,0.4161573052406311
2,0.05,loss,1.4417104721069336
3,0.1,loss,7.889173984527588
4,0.15,loss,15.255693435668945
5,0.2,loss,22.45369529724121
6,0.25,loss,29.727746963500977
7,0.3,loss,37.128787994384766
8,0.35,loss,44.65838623046875
9,0.0,loss,0.2801850438117981
10,0.001,accuracy,0.8974999785423279
11,0.01,accuracy,0.8539361953735352
12,0.05,accuracy,0.579574465751648
13,0.1,accuracy,0.14648936688899994
14,0.15,accuracy,0.05686170235276222
15,0.2,accuracy,0.03393616899847984
16,0.25,accuracy,0.02462765946984291
17,0.3,accuracy,0.020638298243284225
18,0.35,accuracy,0.01872340403497219
19,0.0,accuracy,0.9021276831626892
20,0.001,precision,0.9118098020553589
21,0.01,precision,0.8709214925765991
22,0.05,precision,0.6186812520027161
23,0.1,precision,0.16545061767101288
24,0.15,precision,0.05890744924545288
25,0.2,precision,0.03427895903587341
26,0.25,precision,0.024410268291831017
27,0.3,precision,0.020531661808490753
28,0.35,precision,0.01862187311053276
29,0.0,precision,0.91543048620224
30,0.001,recall,0.8854255080223083
31,0.01,recall,0.8405318856239319
32,0.05,recall,0.5475000143051147
33,0.1,recall,0.1302659511566162
34,0.15,recall,0.05271276459097862
35,0.2,recall,0.03239361569285393
36,0.25,recall,0.023723404854536057
37,0.3,recall,0.020212765783071518
38,0.35,recall,0.01845744624733925
39,0.0,recall,0.8895744681358337
